Area,Year,Geo Type Name,Annual vehicle miles traveled,Annual vehicle miles traveled (cars),Annual vehicle miles traveled (trucks),Asthma emergency department visits due to PM2.5,Asthma emergency departments visits due to Ozone,Asthma hospitalizations due to Ozone,Boiler Emissions- Total NOx Emissions,Boiler Emissions- Total PM2.5 Emissions,Boiler Emissions- Total SO2 Emissions,Cardiac and respiratory deaths due to Ozone,Cardiovascular hospitalizations due to PM2.5 (age 40+),Deaths due to PM2.5,Fine particles (PM 2.5),Nitrogen dioxide (NO2),Outdoor Air Toxics - Benzene,Outdoor Air Toxics - Formaldehyde,Ozone (O3),Respiratory hospitalizations due to PM2.5 (age 20+)
Bay Ridge and Dyker Heights,2005,CD,58.4,54.6,3.4,,,,,,,,,,,,,,,
Bay Ridge and Dyker Heights,2009,CD,,,,,,,,,,,,,11.1,24.133333333333336,,,25.6,
Bay Ridge and Dyker Heights,2010,CD,70.2,65.2,3.7,,,,,,,,,,10.299999999999999,22.5,,,30.6,
Bay Ridge and Dyker Heights,2011,CD,,,,,,,,,,,,,11.299999999999999,23.366666666666664,1.5,2.0,32.5,
Bay Ridge and Dyker Heights,2012,CD,,,,,,,,,,,,,9.333333333333334,19.633333333333336,,,33.0,
Bay Ridge and Dyker Heights,2013,CD,,,,,,,,,,,,,9.466666666666667,19.900000000000002,,,30.3,
Bay Ridge and Dyker Heights,2014,CD,,,,,,,,,,,,,9.700000000000001,20.433333333333334,,,30.7,
Bay Ridge and Dyker Heights,2015,CD,,,,,,,,,,,,,8.766666666666666,19.53333333333333,,,31.8,
Bay Ridge and Dyker Heights,2016,CD,,,,,,,,,,,,,7.8999999999999995,18.666666666666668,,,33.5,
Bay Ridge and Dyker Heights,2017,CD,,,,,,,,,,,,,7.866666666666667,18.53333333333333,,,29.2,
Bay Ridge and Dyker Heights,2018,CD,,,,,,,,,,,,,7.666666666666667,17.900000000000002,,,30.1,
Bay Ridge and Dyker Heights,2019,CD,84.0,77.2,4.9,,,,,,,,,,7.1000000000000005,17.2,,,29.7,
Bay Ridge and Dyker Heights,2020,CD,,,,,,,,,,,,,6.8999999999999995,16.566666666666666,,,29.2,
Bay Ridge and Dyker Heights,2021,CD,,,,,,,,,,,,,7.266666666666667,16.766666666666666,,,29.7,
Bay Ridge and Dyker Heights,2022,CD,,,,,,,,,,,,,6.266666666666667,15.533333333333333,,,34.8,
Bayside - Little Neck,2005,UHF42,60.5,57.1,3.2,,,,,,,,,,,,1.9,2.5,,
Bayside - Little Neck,2007,UHF42,,,,17.6,15.45,4.65,,,,4.8,18.3,48.9,,,,,,15.1
Bayside - Little Neck,2009,UHF42,,,,,,,,,,,,,10.6,20.733333333333334,,,26.3,
Bayside - Little Neck,2010,UHF42,85.9,81.0,4.1,,,,,,,,,,9.799999999999999,19.333333333333332,,,31.0,
Bayside - Little Neck,2011,UHF42,,,,14.4,17.65,5.35,,,,4.5,12.5,34.5,10.933333333333332,20.366666666666667,1.2,1.9,33.0,10.2
Bayside - Little Neck,2012,UHF42,,,,,,,,,,,,,9.1,17.5,,,33.8,
Bayside - Little Neck,2013,UHF42,,,,,,,10.4,0.2,1.6,,,,9.133333333333333,16.599999999999998,,,30.8,
Bayside - Little Neck,2014,UHF42,,,,10.0,14.65,5.15,,,,4.8,8.7,28.4,9.066666666666668,18.366666666666667,0.9,1.4,32.3,7.0
Bayside - Little Neck,2015,UHF42,,,,,,,9.8,0.2,0.9,,,,8.733333333333334,17.433333333333334,,,31.3,
Bayside - Little Neck,2016,UHF42,,,,,,,,,,,,,7.233333333333334,16.666666666666668,,,33.0,
Bayside - Little Neck,2017,UHF42,,,,8.55,13.0,2.8000000000000003,,,,5.3,11.7,29.7,7.866666666666667,17.666666666666668,,,30.3,8.2
Bayside - Little Neck,2018,UHF42,,,,,,,,,,,,,7.366666666666667,16.466666666666665,,,31.0,
Bayside - Little Neck,2019,UHF42,80.0,74.1,4.9,6.0,11.0,1.5,,,,5.0,3.0,24.0,6.8,14.966666666666667,,,31.7,2.0
Bayside - Little Neck,2020,UHF42,,,,,,,,,,,,,6.8,13.933333333333332,,,30.5,
Bayside - Little Neck,2021,UHF42,,,,,,,,,,,,,6.866666666666667,14.166666666666666,,,30.1,
Bayside - Little Neck,2022,UHF42,,,,,,,,,,,,,6.233333333333333,15.1,,,33.4,
Bayside Little Neck-Fresh Meadows,2009,UHF34,,,,,,,,,,,,,10.733333333333334,21.8,,,25.9,
Bayside Little Neck-Fresh Meadows,2010,UHF34,,,,,,,,,,,,,9.9,20.266666666666666,,,30.85,
Bayside Little Neck-Fresh Meadows,2011,UHF34,,,,,,,,,,,,,10.933333333333332,21.400000000000002,,,33.0,
Bayside Little Neck-Fresh Meadows,2012,UHF34,,,,,,,,,,,,,9.166666666666666,18.433333333333334,,,33.7,
Bayside Little Neck-Fresh Meadows,2013,UHF34,,,,,,,,,,,,,9.200000000000001,17.7,,,30.7,
Bayside Little Neck-Fresh Meadows,2014,UHF34,,,,,,,,,,,,,9.133333333333333,19.099999999999998,,,32.1,
Bayside Little Neck-Fresh Meadows,2015,UHF34,,,,,,,,,,,,,8.700000000000001,18.03333333333333,,,31.4,
Bayside Little Neck-Fresh Meadows,2016,UHF34,,,,,,,,,,,,,7.266666666666667,17.26666666666667,,,33.1,
Bayside Little Neck-Fresh Meadows,2017,UHF34,,,,,,,,,,,,,7.833333333333333,18.2,,,30.2,
Bayside Little Neck-Fresh Meadows,2018,UHF34,,,,,,,,,,,,,7.366666666666667,17.066666666666666,,,31.0,
Bayside Little Neck-Fresh Meadows,2019,UHF34,,,,,,,,,,,,,6.8,15.433333333333332,,,31.7,
Bayside Little Neck-Fresh Meadows,2020,UHF34,,,,,,,,,,,,,6.766666666666667,14.566666666666668,,,30.5,
